,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_n_jobs,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
14,11.359072049458822,3.4727319456573453,0.057748635609944664,0.003909282840374879,0.1,6,270,4,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 270, 'n_jobs': 4}",0.8684609552691432,0.867311155340726,0.8684484882949484,0.8680735452075568,0.000539102298002423,9,0.8892048147095062,0.8899208643320855,0.8877884660948681,0.8889713817121532,0.0008860582312361124
15,8.057363748550415,2.2672425079203546,0.05430722236633301,0.0029008841531298845,0.11,6,150,4,"{'learning_rate': 0.11, 'max_depth': 6, 'n_estimators': 150, 'n_jobs': 4}",0.8691243366186505,0.8670268221021704,0.8679745995640223,0.8680419536235546,0.0008576368398785559,10,0.8836129276845797,0.8841396957778515,0.882007297540634,0.8832533070010218,0.0009069273537808998
16,7.765833139419556,2.329629334318876,0.043936570485432945,0.010151075488068382,0.11,6,180,4,"{'learning_rate': 0.11, 'max_depth': 6, 'n_estimators': 180, 'n_jobs': 4}",0.8696929492039424,0.8672163775945408,0.8675007108330964,0.8681367283755608,0.001106571374519224,6,0.885461093735191,0.8857034544851443,0.8846609486802824,0.8852751656335393,0.00044544474594165645
17,11.218509356180826,2.753013267715628,0.06252376238505046,0.016446256199535426,0.11,6,210,4,"{'learning_rate': 0.11, 'max_depth': 6, 'n_estimators': 210, 'n_jobs': 4}",0.8696929492039424,0.8678798218178372,0.8668372666098,0.8681367283755608,0.0011799043343393672,6,0.8874988152781726,0.8880727858598304,0.8862720940150689,0.8872812317176907,0.0007510569149723448
18,12.618336121241251,3.6048482764477248,0.053266445795694985,0.003583779867623071,0.11,6,240,4,"{'learning_rate': 0.11, 'max_depth': 6, 'n_estimators': 240, 'n_jobs': 4}",0.8692191053828658,0.8678798218178372,0.8670268221021704,0.8680419536235546,0.0009023153845000838,10,0.8892522035825988,0.8895891579396294,0.8875515329573994,0.8887976314932092,0.0008917980826738016
19,11.376395066579184,3.633460447658387,0.08185768127441406,0.031621353068640695,0.11,6,270,4,"{'learning_rate': 0.11, 'max_depth': 6, 'n_estimators': 270, 'n_jobs': 4}",0.8692191053828658,0.8674059330869112,0.8679745995640223,0.8681999115435648,0.0007571806197051896,2,0.8917638138565065,0.8910107567644411,0.8897313178221106,0.8908352961476861,0.0008389874267960687
20,8.182791153589884,1.9460963222515226,0.04599539438883463,0.006404575218392316,0.12,6,150,4,"{'learning_rate': 0.12, 'max_depth': 6, 'n_estimators': 150, 'n_jobs': 4}",0.8672289613343442,0.8659842668941332,0.8683537105487632,0.8671889808555001,0.0009677191086564377,30,0.8851767604966354,0.8849452684452448,0.882860256835521,0.8843274285924672,0.0010417427275961947
21,7.703327814737956,2.398571159430634,0.0502465565999349,0.007644366366778734,0.12,6,180,4,"{'learning_rate': 0.12, 'max_depth': 6, 'n_estimators': 180, 'n_jobs': 4}",0.8685557240333586,0.8671215998483556,0.8678798218178372,0.8678524041195426,0.0005858042540620717,17,0.8872618709127097,0.8864142538975501,0.884234469032839,0.8859701979476996,0.0012751940507257265
22,10.841410875320435,3.0422894869071713,0.041773716608683266,0.012973888721317613,0.12,6,210,4,"{'learning_rate': 0.12, 'max_depth': 6, 'n_estimators': 210, 'n_jobs': 4}",0.868366186504928,0.8672163775945408,0.8682589328025779,0.8679471788715486,0.0005185941146302593,13,0.8892048147095062,0.8890679050371985,0.8853717480926883,0.8878814892797977,0.0017755349774641132
23,10.392176389694214,3.489570951326334,0.059257189432779946,0.014299340375873342,0.12,6,240,4,"{'learning_rate': 0.12, 'max_depth': 6, 'n_estimators': 240, 'n_jobs': 4}",0.8672289613343442,0.8667424888636148,0.8689223770258743,0.8676312630315284,0.000934286560659576,22,0.8913373139986731,0.8918163294318343,0.8871724399374497,0.8901086944559857,0.0020854347100015907
24,14.677809953689575,3.949897525303386,0.07104825973510742,0.022739877786094247,0.12,6,270,4,"{'learning_rate': 0.12, 'max_depth': 6, 'n_estimators': 270, 'n_jobs': 4}",0.8673237300985596,0.8667424888636148,0.8684484882949484,0.8675048966955203,0.0007081449303459511,25,0.8932802577954696,0.8931905416291522,0.8896839311946169,0.8920515768730796,0.0016745789105885715
25,8.545959075291952,2.673907678462638,0.049311319986979164,0.004119224474906646,0.13,6,150,4,"{'learning_rate': 0.13, 'max_depth': 6, 'n_estimators': 150, 'n_jobs': 4}",0.8679871114480667,0.8671215998483556,0.8674059330869112,0.8675048966955203,0.00036020877176653213,25,0.8860771490853947,0.8856086812301569,0.8838553760128892,0.8851804021094803,0.000956255248467784
26,5.730360825856526,0.42170500417820406,0.07111763954162598,0.00782440537000477,0.13,6,180,4,"{'learning_rate': 0.13, 'max_depth': 6, 'n_estimators': 180, 'n_jobs': 4}",0.8676080363912054,0.8671215998483556,0.8680693773102076,0.8675996714475264,0.0003869676290904788,23,0.8881622595014691,0.8879780126048429,0.8858930009951191,0.8873444243671438,0.0010290640029896004
27,13.050154685974121,0.28575159898445474,0.05563473701477051,0.01092846886863388,0.13,6,210,4,"{'learning_rate': 0.13, 'max_depth': 6, 'n_estimators': 210, 'n_jobs': 4}",0.8679871114480667,0.8672163775945408,0.8686380437873188,0.8679471788715486,0.00058107016189126,13,0.8908634252677471,0.8905368904895039,0.8879306259773492,0.8897769805782,0.0013123579858186551
28,9.921653270721436,2.523965285540024,0.06426803270975749,0.030307183596322493,0.13,6,240,4,"{'learning_rate': 0.13, 'max_depth': 6, 'n_estimators': 240, 'n_jobs': 4}",0.8689347990902199,0.8672163775945408,0.8684484882949484,0.8681999115435648,0.0007232313477936076,2,0.8934224244147474,0.8920058759418092,0.8902999573520353,0.8919094192361973,0.0012765651991375562
29,7.596593459447225,0.7293916322316167,0.038659095764160156,0.010489001895660788,0.13,6,270,4,"{'learning_rate': 0.13, 'max_depth': 6, 'n_estimators': 270, 'n_jobs': 4}",0.8684609552691432,0.8667424888636148,0.867785044071652,0.8676628546155304,0.0007068665709019784,21,0.8950810349729883,0.8944699805714827,0.8919584893143155,0.8938365016195955,0.00135118331706869
